meter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,cluster
BR16,1.7217430323577803,1.7383457147130676,1.7541257416363363,1.6992321882634491,1.5038141297302687,1.1050506057735454,0.7055392132422595,0.6973874457795283,0.5658373635139852,0.5176746273121603,0.44505658872214193,0.5757092286982102,0.7080819663957721,0.7009772149374283,0.5399611108341227,0.3265942065114424,0.3224809293513487,0.5567881537617789,0.8264695617490153,0.9032008774991276,1.1848481826793638,1.5566884379518373,1.6547340080769806,1.689659470509049,1
BR18,0.5482452203572389,0.3862263143722334,0.3264754652091138,0.3022690016487228,0.29552293803353186,0.2852621185852163,0.3070309289065047,0.26632778877451235,0.6223385409039158,3.4959348825344034,3.494517642279111,1.9017663537715122,1.7836252060903537,1.7492146126918589,1.0451863434729,0.7712054573198097,0.653234378469286,1.0335649733795038,1.0134968513645661,1.2064682845251538,0.8288021012948851,0.6074291734182418,0.4844127192588778,0.5914427033385457,0
BR19,1.3237047382225704,1.35285254990947,1.3476067822901627,1.3611797474589993,1.3683225858856882,1.3268333328966229,1.3116410448562918,1.2827919432136485,1.095967152376186,0.8184078754641142,0.7915396930623282,0.8738054873559183,0.7514182176443306,0.7477236460443192,0.7031686847063078,0.6284597304796916,0.6595098535010651,0.7741883078600045,0.8802932598960804,0.8933316913015111,0.8807544262801953,0.9020519283829568,0.8793447244923894,1.0451025964191478,1
BR22,1.624559381630106,1.4298988123586271,1.312904603656157,1.2325298489070384,1.1287688822348463,1.0024145755109595,0.7449697805306102,0.6365147317172429,0.5651492467278687,0.5698854282604444,0.6785088746394142,0.6970957559428115,0.7174929110764376,0.725295331616029,0.939756647976291,1.6631294407183561,1.4556425902001386,1.2939037450039863,0.9242710885060769,0.8855677146783912,0.7973203737373472,0.8401354547918316,0.7684682574974193,1.3658165220815695,1
BR24,1.1806064344507199,1.0748485841509723,0.9942348246814579,0.8858122096497484,0.7479430190643251,0.6402189795092237,0.6150471307130326,0.7800959962989378,1.0073412109412647,1.2234277232685005,0.9521907589104998,0.8844705746284478,0.8062023632823794,0.7185797174084854,0.8541033598704626,1.1106008443047977,1.0118102434604928,0.8598168745301386,0.8351030321722535,0.9515523256934671,1.2412298321028588,1.4389313183106194,1.7146280625325288,1.471204580064383,1
BR27,1.311687227017089,1.3079041382239012,1.2971477439686436,1.300620280696719,1.2706378904104112,1.0841090273015261,0.8140981226892398,0.8298515819922151,0.7886893173618602,0.7169517903208921,0.9840830303294089,0.9634454340023928,0.8542722671124188,0.8289199257968779,0.86446402124929,0.9314021072839753,0.9893341834304006,0.8652262854091113,0.7902703096933418,0.7969330630902991,0.8697434063562011,1.0005140577744476,1.2483063737282367,1.2913884147611046,1
BR28,0.9072970523458669,0.8855829330027379,0.8956135037027646,0.9175905968095649,0.9017558194685114,0.9001591930462224,0.8937351196765424,0.9192247909123783,0.9107344951138538,0.9155431582209826,0.9786944291825745,1.0989861422218468,1.18894195323763,1.1496649432493227,1.1919285838393232,1.1637528234459895,1.1722055515639898,1.095360861051238,1.0657199611174508,1.012787099258508,0.9944916388431034,0.9796148373554232,0.9171210008030094,0.9434935125311695,1
BR29,1.1555896898818878,0.9927224064700066,0.9685273753418282,0.9641333566067377,0.9728748472682843,0.9450305463431665,0.8974503985570491,0.8235247570838425,0.8427765171350441,0.9814580787804739,0.9821190434630828,1.0250072729388493,0.8231989294234016,0.7552219700936755,0.7330284517367779,0.7723605050328737,0.8014336417059407,0.8173061034502822,0.9962692732879503,1.2123395589689885,1.3156083086053414,1.4003328096817365,1.4397207191481936,1.381965438994589,1
BR30,1.1314188450180467,1.1076404079623756,0.9750492179809691,0.8867131958875643,0.8737011921688723,0.872511757628787,0.869640708738926,0.8428784315870065,0.8104458328776113,0.7515380619052826,0.7890667723941813,0.9870563545882095,1.0123215848189873,1.0289326533960406,1.0620112381056546,0.9100199606256152,1.003718691895439,1.1853535491632943,1.1332542655583506,1.0697630701082794,1.1277890189215793,1.2462095318823143,1.1939256808487368,1.129039975937876,1
BR31,1.091521881871552,1.132222104007,1.0850742552230463,0.9249076634624104,0.761116387128215,0.7199445517582892,0.6492968892334909,0.5827253125209664,0.5976417653943121,0.7268840036370363,1.1297562405238724,1.3169530079520166,1.1270276210958214,0.9933454811170831,1.1582214678905778,1.122567507364044,1.1367361163941463,1.1597238929089861,1.0290802896266704,1.078774849876805,1.2469521292916452,1.1808386911497564,0.9991058999096356,1.0495819906626194,1
